File,Variable,Correlation_With_Diabetes
acculturation,EverTold_Diabetes,1.0
acculturation,RatioEnglishSpanishAtHome,0.05177415890758432
acculturation,SEQN,0.005491540139967076
acculturation,LanguageSpokenAtHome_1,0.0029304647220539503
acculturation,LanguageSpokenAtHome_2,
acculturation,LanguageSpokenAtHome_3,
alcohol_use,EverTold_Diabetes,1.0
alcohol_use,DailyHeavyDrinkingHistory,0.02342791298890759
alcohol_use,OccasionsWithHeavyDrinking_30Days,0.015831088875758587
alcohol_use,AlcoholConsumptionFrequency_12Months,0.008998280360351146
alcohol_use,SEQN,0.0021641262982611347
alcohol_use,MoreThanSpecificNumberOfDrinksFrequency,-0.022500044571052175
alcohol_use,AverageDrinksPerDrinkingDay_12Months,-0.031744272811703715
alcohol_use,HeavyDrinkingWithinTwoHoursFrequency_12Months,-0.03866998420559415
alcohol_use,EverHad_Alcohol,-0.05050237549865334
alcohol_use,MoreThan8DrinksPerDay_12Months,-0.06862066072975186
audiometry,EverTold_Diabetes,1.0
audiometry,DifficultyHearing_WithBackgroundNoise,0.06967246201851562
audiometry,LastHearingTest_Specialist,0.014424549738728342
audiometry,reason_hearing_loss_A,0.007944427141248598
audiometry,SEQN,0.00523596228749171
audiometry,HearingStatus_NoAid,-0.06332141650990339
audiometry,reason_hearing_loss_B,
audiometry,reason_hearing_loss_C,
audiometry,reason_hearing_loss_D,
audiometry,reason_hearing_loss_E,
audiometry,reason_hearing_loss_F,
audiometry,reason_hearing_loss_G,
audiometry,reason_hearing_loss_H,
audiometry,reason_hearing_loss_I,
audiometry,reason_hearing_loss_J,
blood_pressure_cholesterol,EverTold_Diabetes,1.0
blood_pressure_cholesterol,EverTold_Hypertension,0.17204784096888862
blood_pressure_cholesterol,CurrentlyTaking_CholesterolMedication,0.15375331861395217
blood_pressure_cholesterol,EverTold_HighCholesterol,0.11620507708752618
blood_pressure_cholesterol,CurrentlyTaking_BloodPressureMedication,0.09987539085937662
blood_pressure_cholesterol,ConfirmedHypertension_Visits,0.01899098949037657
blood_pressure_cholesterol,SEQN,0.006795208720607292
current_health_status,EverTold_Diabetes,1.0
current_health_status,SEQN,0.0020642141068293856
current_health_status,EverTestedFor_AIDS,-0.005827827228937577
dermatology,EverTold_Diabetes,1.0
dermatology,ShadeStayingFrequency,0.018939577476336036
dermatology,SEQN,0.012484893347726962
dermatology,WearsLongSleevesFrequency,-0.02567669420120674
dermatology,UsesSunscreenFrequency,-0.08418431609300221
diet_behavior_nutrition,EverTold_Diabetes,1.0
diet_behavior_nutrition,BreakfastCostStatus,0.03742081961043041
diet_behavior_nutrition,EverBreastfed,0.03221375107667461
diet_behavior_nutrition,AttendedCommunityMeals_Past12Months,0.03214239241015137
diet_behavior_nutrition,MealsDeliveredHome_Past12Months,0.02065896697918429
diet_behavior_nutrition,FoodShoppingResponsibility,0.017105121799817102
diet_behavior_nutrition,FoodShoppingSharing,0.009163603536293276
diet_behavior_nutrition,MealPlanningResponsibility,0.006658238693426041
diet_behavior_nutrition,SEQN,0.00523596228749171
diet_behavior_nutrition,SchoolServesBreakfastsAtConstantCostsDaily,0.004058339592646565
diet_behavior_nutrition,CurrentlyAttendingSchool,0.0020861306602995813
diet_behavior_nutrition,SchoolServesLunches,0.0002837195887843132
diet_behavior_nutrition,MealPreparationSharing,-0.001232890115714801
diet_behavior_nutrition,NumberWeeklyCompleteSchoolLunches,-0.00286781707038915
diet_behavior_nutrition,AgeFirstFedMilk,-0.0028891322050696184
diet_behavior_nutrition,NumberWeeklyCompleteSchoolBreakfasts,-0.002979582671461424
diet_behavior_nutrition,AgeFirstFedFormula,-0.003902367258817137
diet_behavior_nutrition,AgeFirstFedOtherThanBreastMilk_inDays,-0.00429123000425206
diet_behavior_nutrition,AgeStoppedDrinkingFormula,-0.006157281251709952
diet_behavior_nutrition,SummerProgramMealCostsStatus,-0.015492382298522992
diet_behavior_nutrition,LunchCostStatus,-0.0201709874941802
diet_behavior_nutrition,AgeStoppedBreastfeeding,
diet_behavior_nutrition,FirstTypeOfMilkFed_1,
diet_behavior_nutrition,FirstTypeOfMilkFed_2,
diet_behavior_nutrition,FirstTypeOfMilkFed_3,
diet_behavior_nutrition,FirstTypeOfMilkFed_4,
diet_behavior_nutrition,FirstTypeOfMilkFed_5,
diet_behavior_nutrition,FirstTypeOfMilkFed_6,
early_childhood,EverTold_Diabetes,1.0
early_childhood,BirthWeight_2,0.04787121843018767
early_childhood,BirthWeight_1,0.04783695019004507
early_childhood,SEQN,0.006672211220650642
early_childhood,Weight_2,-0.01979329412028442
early_childhood,Weight_1,-0.038505739645718164
early_childhood,OverweightDiagnosis,-0.046953290822992266
early_childhood,WeightAssessment,-0.05349017207397945
functioning,EverTold_Diabetes,1.0
functioning,DifficultyHearing_Level,0.3155835342410087
functioning,AdultDisabilityIndicator,0.13764918751181762
functioning,AdultEnhancedDisabilityIndicator,0.132988092229006
functioning,DifficultySeeing_Level,0.06851835177523478
functioning,DifficultyWithSelfCare_Level,0.06682918969277027
functioning,DifficultyAcceptingRoutineChanges_Level,0.058691484544652735
functioning,DifficultyRememberingComparedToPeers_Level,0.043757292302144424
functioning,DifficultyBeingUnderstoodAtHome_Level,0.04294240210882645
functioning,DifficultyConcentratingOnEnjoyableActivities_Level,0.042549269168015456
functioning,FrequencyDepressed,0.042048499228056015
functioning,DifficultyControllingBehavior_Level,0.04046688286558989
functioning,DifficultyBeingUnderstoodOutside_Level,0.03861104711141045
functioning,DifficultyWalkingComparedToPeers_Level,0.03031602400200588
functioning,DifficultyLearningComparedToPeers_Level,0.02370154049421284
functioning,SEQN,0.00613876925467787
functioning,EquipmentForWalking,0.001059540859516843
functioning,FrequencyOfAnxiety_Level,-0.0057643111730825
functioning,DifficultyMakingFriends_Level,-0.006313805388150649
functioning,FrequencyWorriedAnxious,-0.015858616213143172
functioning,FrequencyOfSadness_Level,-0.027193368454574138
functioning,LevelOfDepression,-0.030184188470527708
functioning,LevelOfWorryAnxiety,-0.030339231635506808
functioning,DifficultyHearingWithAid_Level,-0.04464458532004568
functioning,DifficultyRememberingConcentrating_Level,-0.05289056278175932
functioning,ChildDisabilityIndicator,-0.05597917886009475
functioning,DifficultyCommunicating_Level,-0.05665947589482753
functioning,DifficultyLiftingWeight_Level,-0.08951688778857564
functioning,DifficultySelfCare_Level,-0.09311197955686105
functioning,DifficultySeeingWithGlasses_Level,-0.09378872972819434
functioning,DifficultyUsingHandsFingers_Level,-0.14448798477092695
