File,Variable,Correlation_With_Diabetes
acculturation,EverTold_Diabetes,1.0
acculturation,RatioEnglishSpanishAtHome,0.0517741589075843
acculturation,SEQN,0.005491540139967
acculturation,LanguageSpokenAtHome_1,0.0029304647220539
acculturation,LanguageSpokenAtHome_2,
acculturation,LanguageSpokenAtHome_3,
alcohol_use,EverTold_Diabetes,1.0
alcohol_use,DailyHeavyDrinkingHistory,0.0234279129889075
alcohol_use,OccasionsWithHeavyDrinking_30Days,0.0158310888757585
alcohol_use,AlcoholConsumptionFrequency_12Months,0.0089982803603511
alcohol_use,SEQN,0.0021641262982611
alcohol_use,MoreThanSpecificNumberOfDrinksFrequency,-0.0225000445710521
alcohol_use,AverageDrinksPerDrinkingDay_12Months,-0.0317442728117037
alcohol_use,HeavyDrinkingWithinTwoHoursFrequency_12Months,-0.0386699842055941
alcohol_use,EverHad_Alcohol,-0.0505023754986533
alcohol_use,MoreThan8DrinksPerDay_12Months,-0.0686206607297518
audiometry,EverTold_Diabetes,1.0
audiometry,DifficultyHearing_WithBackgroundNoise,0.0696724620185156
audiometry,LastHearingTest_Specialist,0.0144245497387283
audiometry,reason_hearing_loss_A,0.0079444271412485
audiometry,SEQN,0.0052359622874917
audiometry,HearingStatus_NoAid,-0.0633214165099033
audiometry,reason_hearing_loss_B,
audiometry,reason_hearing_loss_C,
audiometry,reason_hearing_loss_D,
audiometry,reason_hearing_loss_E,
audiometry,reason_hearing_loss_F,
audiometry,reason_hearing_loss_G,
audiometry,reason_hearing_loss_H,
audiometry,reason_hearing_loss_I,
audiometry,reason_hearing_loss_J,
blood_pressure_cholesterol,EverTold_Diabetes,1.0
blood_pressure_cholesterol,EverTold_Hypertension,0.1720478409688886
blood_pressure_cholesterol,CurrentlyTaking_CholesterolMedication,0.1537533186139521
blood_pressure_cholesterol,EverTold_HighCholesterol,0.1162050770875261
blood_pressure_cholesterol,CurrentlyTaking_BloodPressureMedication,0.0998753908593766
blood_pressure_cholesterol,ConfirmedHypertension_Visits,0.0189909894903765
blood_pressure_cholesterol,SEQN,0.0067952087206072
current_health_status,EverTold_Diabetes,1.0
current_health_status,SEQN,0.0020642141068293
current_health_status,EverTestedFor_AIDS,-0.0058278272289375
dermatology,EverTold_Diabetes,1.0
dermatology,ShadeStayingFrequency,0.018939577476336
dermatology,SEQN,0.0124848933477269
dermatology,WearsLongSleevesFrequency,-0.0256766942012067
dermatology,UsesSunscreenFrequency,-0.0841843160930022
diet_behavior_nutrition,EverTold_Diabetes,1.0
diet_behavior_nutrition,BreakfastCostStatus,0.0374208196104304
diet_behavior_nutrition,EverBreastfed,0.0322137510766746
diet_behavior_nutrition,AttendedCommunityMeals_Past12Months,0.0321423924101513
diet_behavior_nutrition,MealsDeliveredHome_Past12Months,0.0206589669791842
diet_behavior_nutrition,FoodShoppingResponsibility,0.0171051217998171
diet_behavior_nutrition,FoodShoppingSharing,0.0091636035362932
diet_behavior_nutrition,MealPlanningResponsibility,0.006658238693426
diet_behavior_nutrition,SEQN,0.0052359622874917
diet_behavior_nutrition,SchoolServesBreakfastsAtConstantCostsDaily,0.0040583395926465
diet_behavior_nutrition,CurrentlyAttendingSchool,0.0020861306602995
diet_behavior_nutrition,SchoolServesLunches,0.0002837195887843
diet_behavior_nutrition,MealPreparationSharing,-0.0012328901157148
diet_behavior_nutrition,NumberWeeklyCompleteSchoolLunches,-0.0028678170703891
diet_behavior_nutrition,AgeFirstFedMilk,-0.0028891322050696
diet_behavior_nutrition,NumberWeeklyCompleteSchoolBreakfasts,-0.0029795826714614
diet_behavior_nutrition,AgeFirstFedFormula,-0.0039023672588171
diet_behavior_nutrition,AgeFirstFedOtherThanBreastMilk_inDays,-0.004291230004252
diet_behavior_nutrition,AgeStoppedDrinkingFormula,-0.0061572812517099
diet_behavior_nutrition,SummerProgramMealCostsStatus,-0.0154923822985229
diet_behavior_nutrition,LunchCostStatus,-0.0201709874941802
diet_behavior_nutrition,AgeStoppedBreastfeeding,
diet_behavior_nutrition,FirstTypeOfMilkFed_1,
diet_behavior_nutrition,FirstTypeOfMilkFed_2,
diet_behavior_nutrition,FirstTypeOfMilkFed_3,
diet_behavior_nutrition,FirstTypeOfMilkFed_4,
diet_behavior_nutrition,FirstTypeOfMilkFed_5,
diet_behavior_nutrition,FirstTypeOfMilkFed_6,
early_childhood,EverTold_Diabetes,1.0
early_childhood,BirthWeight_2,0.0478712184301876
early_childhood,BirthWeight_1,0.047836950190045
early_childhood,SEQN,0.0066722112206506
early_childhood,Weight_2,-0.0197932941202844
early_childhood,Weight_1,-0.0385057396457181
early_childhood,OverweightDiagnosis,-0.0469532908229922
early_childhood,WeightAssessment,-0.0534901720739794
functioning,EverTold_Diabetes,1.0
functioning,DifficultyHearing_Level,0.3155835342410087
functioning,AdultDisabilityIndicator,0.1376491875118176
functioning,AdultEnhancedDisabilityIndicator,0.132988092229006
functioning,DifficultySeeing_Level,0.0685183517752347
functioning,DifficultyWithSelfCare_Level,0.0668291896927702
functioning,DifficultyAcceptingRoutineChanges_Level,0.0586914845446527
functioning,DifficultyRememberingComparedToPeers_Level,0.0437572923021444
functioning,DifficultyBeingUnderstoodAtHome_Level,0.0429424021088264
functioning,DifficultyConcentratingOnEnjoyableActivities_Level,0.0425492691680154
functioning,FrequencyDepressed,0.042048499228056
functioning,DifficultyControllingBehavior_Level,0.0404668828655898
functioning,DifficultyBeingUnderstoodOutside_Level,0.0386110471114104
functioning,DifficultyWalkingComparedToPeers_Level,0.0303160240020058
functioning,DifficultyLearningComparedToPeers_Level,0.0237015404942128
functioning,SEQN,0.0061387692546778
functioning,EquipmentForWalking,0.0010595408595168
functioning,FrequencyOfAnxiety_Level,-0.0057643111730825
functioning,DifficultyMakingFriends_Level,-0.0063138053881506
functioning,FrequencyWorriedAnxious,-0.0158586162131431
functioning,FrequencyOfSadness_Level,-0.0271933684545741
functioning,LevelOfDepression,-0.0301841884705277
functioning,LevelOfWorryAnxiety,-0.0303392316355068
functioning,DifficultyHearingWithAid_Level,-0.0446445853200456
functioning,DifficultyRememberingConcentrating_Level,-0.0528905627817593
functioning,ChildDisabilityIndicator,-0.0559791788600947
functioning,DifficultyCommunicating_Level,-0.0566594758948275
functioning,DifficultyLiftingWeight_Level,-0.0895168877885756
functioning,DifficultySelfCare_Level,-0.093111979556861
functioning,DifficultySeeingWithGlasses_Level,-0.0937887297281943
functioning,DifficultyUsingHandsFingers_Level,-0.1444879847709269
functioning,DifficultyWalkingClimbingSteps_Level,-0.1943267284480359
functioning,DifficultyWalkingWithoutAssistance_Level,
health_insurance,EverTold_Diabetes,1.0
health_insurance,HealthInsurance_Private,0.0544505378916258
health_insurance,Has_HealthInsurance,0.0166942184471819
health_insurance,SEQN,0.0052359622874917
health_insurance,NoHealthInsurance_Past12Months,-0.0013128298140588
health_insurance,HealthInsurance_Medicare,
health_insurance,HealthInsurance_MediGap,
health_insurance,HealthInsurance_Medicaid,
health_insurance,HealthInsurance_CHIP,
health_insurance,HealthInsurance_Military,
health_insurance,HealthInsurance_StateSponsoredHealthPlan,
health_insurance,HealthInsurance_OtherGovernmentInsurance,
hepatitis,EverTold_Diabetes,1.0
hepatitis,SEQN,0.0062265078672579
hepatitis,EverTold_HepatitisB,-0.0020433295609304
hospital_utilization_access_to_care,EverTold_Diabetes,1.0
hospital_utilization_access_to_care,TelehealthAppointment_Past12Months,0.0684893546222203
hospital_utilization_access_to_care,HasUsualPlace_ForCare,0.0341822108760473
hospital_utilization_access_to_care,MentalHealthVisit_Past12Months,0.008306754046507
hospital_utilization_access_to_care,SEQN,0.0052359622874917
hospital_utilization_access_to_care,UsualPlace_Type,-0.0133856140127834
hospital_utilization_access_to_care,GeneralHealth_Status,-0.2004939491102295
housing_characteristics,EverTold_Diabetes,1.0
housing_characteristics,SEQN,0.0052359622874917
housing_characteristics,NumberOfRooms_Home,0.0012262954750222
immunization,EverTold_Diabetes,1.0
immunization,EverReceived_HepatitisAVaccine,0.0229701279727666
immunization,EverReceived_HPVTreatment_Girls,0.0104249078834352
immunization,SEQN,0.0051942877656001
immunization,NumberOfHPVDosesReceived,-0.0028938021691836
immunization,AgeAtFirstHPVDose,-0.0096767886191089
immunization,EverReceived_HPVTreatment_Boys,-0.0185064291281677
income,EverTold_Diabetes,1.0
income,FamilyPovertyLevelIndex_Ratio,0.015560702464856
income,SEQN,0.0052359622874917
income,TotalSavings_CashAssets,-0.0057042323265566
income,FamilyPovertyLevelIndex_Categories,-0.0107074856467472
income,MoreThan5000_InSavings,-0.0329011082142273
kidney_condition_urology,EverTold_Diabetes,1.0
kidney_condition_urology,EverTold_KidneyFailure,0.0937924393711277
kidney_condition_urology,LeakageWithUrgency_12Months,0.0866172486684003
