Variable,Missing_Percentage
MCQ230D,0.9998297002724795
MCQ510B,0.9996594005449592
SMQ690E,0.9993188010899182
MCQ510E,0.9986376021798365
DBQ073D,0.9986376021798365
DBQ073E,0.9982118528610354
FNQ060,0.9981267029972752
SMD630,0.998041553133515
SMQ690B,0.9978712534059946
SMQ740,0.9978712534059946
ACD010B,0.9977861035422343
MCQ230C,0.9977861035422343
AUQ410E,0.9974455040871935
SMQ690D,0.996508855585831
SMQ690G,0.99608310626703
SMQ845,0.99608310626703
MCQ510C,0.9959979564032697
SMQ690K,0.9956573569482289
MCQ510D,0.9947207084468664
AUQ410J,0.9943801089918256
DBQ073C,0.9943801089918256
MCQ510F,0.9932731607629428
DBQ073U,0.9930177111716622
SMQ690F,0.9926771117166212
AUQ410D,0.9926771117166212
AUQ410C,0.992591961852861
HIQ032E,0.9923365122615804
ECQ090,0.990207765667575
SMQ690C,0.9896117166212534
SMQ770,0.9896117166212534
AUQ410F,0.9885899182561307
ECQ080,0.9871423705722071
MCQ230B,0.9864611716621253
DBQ073B,0.9847581743869209
HIQ032C,0.9828848773841962
MCQ510A,0.9778610354223434
SMD641,0.9767540871934605
KIQ025,0.97266689373297
DIQ060U,0.9717302452316077
DID060,0.9707935967302452
AUQ410A,0.969516348773842
HIQ032F,0.9685797002724795
SMQ849,0.9659400544959128
MCQ170L,0.9638113079019074
AUQ410B,0.9632152588555858
MCQ149,0.9630449591280654
HIQ032I,0.962108310626703
AUQ410G,0.9616825613079019
ACD010C,0.9413317438692098
SMQ621,0.9342643051771117
SMQ725,0.9332425068119891
SMQ720,0.9329019073569482
SMQ710,0.9329019073569482
SMQ690A,0.9325613079019074
AUQ410H,0.9313692098092643
DBQ073A,0.9266859673024523
DBD030,0.9185115803814714
DBD050,0.9145946866485014
MCQ170M,0.9103371934604905
DIQ050,0.9079529972752044
DID040,0.9079529972752044
HIQ032H,0.9068460490463215
MCQ230A,0.9004598092643051
SMD100MN,0.8999489100817438
AUQ410I,0.899608310626703
SMD650,0.8990974114441417
MCQ050,0.8962023160762943
MCQ040,0.8962023160762943
DBD061,0.895350817438692
DBD055,0.8933923705722071
DBD041,0.8933923705722071
DBQ010,0.8933923705722071
DBQ421,0.8807901907356949
OCQ210,0.8772990463215259
MCQ500,0.865633514986376
IMQ100,0.8525204359673024
IMQ090,0.8525204359673024
DBQ424,0.848433242506812
MCQ035,0.8342983651226158
RXQ515,0.8255279291553134
DBQ390,0.8161614441416893
DIQ070,0.8057731607629428
KIQ010,0.8021117166212534
ACD040,0.8020265667574932
ALQ170,0.799216621253406
ALQ280,0.7988760217983651
ALQ270,0.7985354223433242
DBD411,0.7975136239782016
HIQ032D,0.7879768392370572
IMQ070,0.7877213896457765
MCQ195,0.784400544959128
KIQ052,0.7834638964577657
SMD470,0.7814202997275205
DBD381,0.7749489100817438
DBQ370,0.764816076294278
DBQ400,0.764816076294278
FNQ080,0.7645606267029973
HIQ032B,0.7636239782016349
FNDCDI,0.7627724795640327
FNQ021,0.7626873297002725
FNQ041,0.7626873297002725
FNQ050,0.7626873297002725
FNQ100,0.7626873297002725
FNQ160,0.7626873297002725
FNQ150,0.7626873297002725
FNQ170,0.7626873297002725
FNQ190,0.7626873297002725
FNQ130,0.7626873297002725
FNQ200,0.7626873297002725
FNQ140,0.7626873297002725
FNQ110,0.7626873297002725
FNQ120,0.7626873297002725
FNQ180,0.7626873297002725
IMQ060,0.7570674386920981
BPQ030,0.747275204359673
BPQ150,0.7471900544959128
PAQ711,0.7410592643051771
PAQ706,0.7410592643051771
MCQ080E,0.739100817438692
WHQ030E,0.739100817438692
ECD070B,0.7238589918256131
SMQ040,0.7238589918256131
ECD070A,0.7238589918256131
DBQ360,0.7141519073569482
DBQ301,0.7019754768392371
DBQ330,0.7019754768392371
OCQ383,0.6922683923705722
RXQ520,0.6880960490463215
PAD820,0.6860524523160763
ALQ130,0.653525204359673
ALQ142,0.6524182561307902
DPQ100,0.6451805177111717
OCQ180,0.6383685286103542
DEQ034D,0.636324931880109
DEQ034C,0.636324931880109
DEQ034A,0.6336852861035422
OCQ215,0.6160592643051771
ALQ151,0.5826805177111717
ALQ121,0.5808923705722071
FNQ540,0.573399182561308
KIQ481,0.5583276566757494
KIQ044,0.557816757493188
KIQ042,0.5571355585831063
KIQ005,0.5565395095367848
ALQ111,0.5332935967302452
SMQ863,0.5329529972752044
DPQ090,0.5311648501362398
DPQ070,0.5309945504087193
DPQ080,0.5309945504087193
DPQ060,0.5308242506811989
DPQ050,0.5305688010899182
DPQ040,0.530483651226158
DPQ030,0.5303133514986376
DPQ020,0.5301430517711172
DPQ010,0.5300579019073569
IND310,0.5286955040871935
RXQ510,0.5136239782016349
OSQ230,0.5126873297002725
HSQ590,0.5103031335149864
HIQ032A,0.5004257493188011
RXQ050,0.47002724795640327
SMDANY,0.46764305177111715
SMQ851,0.46670640326975477
SMQ681,0.4662806539509537
SMQ846,0.4662806539509537
