Variable,Missing_Percentage
TotalCigarettesSmoked,0.9342643051771117
LastCigaretteSmoked,0.9332425068119891
DaysSmokedCigarettes_5Days,0.9329019073569482
CigarettesSmokedPerSmokingDay_5Days,0.9329019073569482
ProductsUsed_1,0.9325613079019074
reason_hearing_loss_H,0.9313692098092643
StillHave_ThyroidProblem,0.9103371934604905
TypeOfCancer_1st,0.9004598092643051
SmokingTypeMenthol,0.8999489100817438
reason_hearing_loss_I,0.899608310626703
CigarettesPerDayOnSmokingDays_30Days,0.8990974114441417
AsthmaEpisode_Last12Months,0.8962023160762943
EmergencyVisit_Asthma_Last12Months,0.8962023160762943
AgeFirstFedFormula,0.8933923705722071
EverBreastfed,0.8933923705722071
BreakfastCostStatus,0.8807901907356949
EverTold_LiverCondition.1,0.865633514986376
NumberOfHPVDosesReceived,0.8525204359673024
AgeAtFirstHPVDose,0.8525204359673024
SummerProgramMealCostsStatus,0.848433242506812
LunchCostStatus,0.8161614441416893
UrineLeakageAmount,0.8021117166212534
NumberWeeklyCompleteSchoolBreakfasts,0.7975136239782016
EverReceived_HPVTreatment_Boys,0.7877213896457765
ImpactOfLeakageOnLife_12Months,0.7834638964577657
NumberWeeklyCompleteSchoolLunches,0.7749489100817438
SchoolServesBreakfastsAtConstantCostsDaily,0.764816076294278
SchoolServesLunches,0.764816076294278
DifficultyWalkingComparedToPeers_Level,0.7645606267029973
HealthInsurance_Medicare,0.7636239782016349
DifficultyAcceptingRoutineChanges_Level,0.7626873297002725
DifficultyMakingFriends_Level,0.7626873297002725
DifficultySeeing_Level,0.7626873297002725
DifficultyHearing_Level,0.7626873297002725
EquipmentForWalking,0.7626873297002725
FrequencyOfSadness_Level,0.7626873297002725
DifficultyWithSelfCare_Level,0.7626873297002725
DifficultyBeingUnderstoodAtHome_Level,0.7626873297002725
DifficultyBeingUnderstoodOutside_Level,0.7626873297002725
DifficultyLearningComparedToPeers_Level,0.7626873297002725
DifficultyRememberingComparedToPeers_Level,0.7626873297002725
DifficultyConcentratingOnEnjoyableActivities_Level,0.7626873297002725
FrequencyOfAnxiety_Level,0.7626873297002725
DifficultyControllingBehavior_Level,0.7626873297002725
EverReceived_HPVTreatment_Girls,0.7570674386920981
CurrentCigaretteSmoking,0.7238589918256131
MealsDeliveredHome_Past12Months,0.7019754768392371
AttendedCommunityMeals_Past12Months,0.7019754768392371
MainReasonNotWorking_LastWeek,0.6922683923705722
TakingAspirinOnOwn,0.6880960490463215
Duration_VigorousActivity_PerSession,0.6860524523160763
DifficultyInFunctioningStatus,0.6451805177111717
DailyHeavyDrinkingHistory,0.5826805177111717
AlcoholConsumptionFrequency_12Months,0.5808923705722071
LevelOfDepression,0.573399182561308
NightUrinationFrequency_30Days,0.5583276566757494
LeakageWithUrgency_12Months,0.557816757493188
LeakageWithActivity_12Months,0.5571355585831063
UrineLeakageFrequency,0.5565395095367848
EverHad_Alcohol,0.5332935967302452
UsedNicotineReplacement_5Days,0.5329529972752044
SuicidalThoughtsFrequency_2weeks,0.5311648501362398
MovementSpeechIssuesFrequency_2weeks,0.5309945504087193
ConcentrationProblemsFrequency_2weeks,0.5309945504087193
SelfEsteemIssuesFrequency_2weeks,0.5308242506811989
AppetiteChangesFrequency_2weeks,0.5305688010899182
FatigueFrequency_2weeks,0.530483651226158
SleepProblemsFrequency_2weeks,0.5303133514986376
DepressionFeelingsFrequency_2weeks,0.5301430517711172
InterestProblemsFrequency_2weeks,0.5300579019073569
EverTold_TakeAspirin,0.5136239782016349
HasMetalObjects_InBody,0.5126873297002725
EverTestedFor_AIDS,0.5103031335149864
HealthInsurance_Private,0.5004257493188011
PrescriptionMeds_Count_Last30Days,0.47002724795640327
UsedAnyTobaccoProduct_5Days,0.46764305177111715
UsedSmokelessTobacco_5Days,0.46670640326975477
UsedECigarettes_5Days,0.4662806539509537
TabaccoProduct_5Days,0.4662806539509537
Duration_ModerateActivity_PerSession,0.4558923705722071
LevelOfWorryAnxiety,0.43690395095367845
SelfConscious_TeethIssues,0.3354904632152589
DifficultyHearing_WithBackgroundNoise,0.3354904632152589
AvoidedFoods_TeethIssues,0.3354904632152589
DiscomfortEating_TeethIssues,0.33540531335149865
LifeSatisfaction_Impact_TeethIssues,0.33540531335149865
JobSchoolImpact_TeethIssues,0.33540531335149865
EverTold_ThyroidProblem,0.3353201634877384
EverTold_Stroke,0.3353201634877384
LastHearingTest_Specialist,0.33523501362397823
EverTold_Arthritis,0.33523501362397823
EverTold_CoronaryHeartDisease,0.33523501362397823
EverTold_KidneyFailure,0.33523501362397823
EverTold_HeartAttack,0.33523501362397823
EverTold_COPD,0.33523501362397823
EverTold_LiverCondition,0.33523501362397823
EverTold_Gallstones,0.33523501362397823
EverHad_GallbladderSurgery,0.33523501362397823
EverTold_Cancer,0.33523501362397823
